path,size,suffix
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-SingleLineInfilling/1.0.0/868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f/humaneval_infilling-test.arrow,1500632,.arrow
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-SingleLineInfilling/1.0.0/ad46002f24b153968a3d0949e6fa9576780530ba/humaneval_infilling-test.arrow,1500632,.arrow
/home/shx/.cache/huggingface/hub/datasets--loubnabnl--humaneval_infilling/snapshots/ad46002f24b153968a3d0949e6fa9576780530ba/humaneval_infilling.py,2601,.py
/home/shx/.cache/huggingface/datasets/_home_shx_.cache_huggingface_datasets_loubnabnl___humaneval_infilling_HumanEval-SingleLineInfilling_1.0.0_ad46002f24b153968a3d0949e6fa9576780530ba.lock,0,.lock
/home/shx/.cache/huggingface/datasets/_home_shx_.cache_huggingface_datasets_loubnabnl___humaneval_infilling_HumanEval-SingleLineInfilling_1.0.0_868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f.lock,0,.lock
/home/shx/.cache/huggingface/datasets/_home_shx_.cache_huggingface_datasets_loubnabnl___humaneval_infilling_HumanEval-MultiLineInfilling_1.0.0_868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f.lock,0,.lock
/home/shx/.cache/huggingface/datasets/_home_shx_.cache_huggingface_datasets_loubnabnl___humaneval_infilling_HumanEval-RandomSpanInfillingLight_1.0.0_868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f.lock,0,.lock
/home/shx/.cache/huggingface/datasets/_home_shx_.cache_huggingface_datasets_loubnabnl___humaneval_infilling_HumanEval-MultiLineInfilling_1.0.0_ad46002f24b153968a3d0949e6fa9576780530ba.lock,0,.lock
/home/shx/.cache/huggingface/datasets/_home_shx_.cache_huggingface_datasets_loubnabnl___humaneval_infilling_HumanEval-RandomSpanInfilling_1.0.0_868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f.lock,0,.lock
/home/shx/.cache/huggingface/modules/datasets_modules/datasets/loubnabnl--humaneval_infilling/868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f/humaneval_infilling.json,410,.json
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-MultiLineInfilling/1.0.0/ad46002f24b153968a3d0949e6fa9576780530ba/dataset_info.json,1368,.json
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-SingleLineInfilling/1.0.0/868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f/dataset_info.json,1345,.json
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-SingleLineInfilling/1.0.0/ad46002f24b153968a3d0949e6fa9576780530ba/dataset_info.json,1370,.json
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-MultiLineInfilling/1.0.0/ad46002f24b153968a3d0949e6fa9576780530ba/humaneval_infilling-test.arrow,9589776,.arrow
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-SingleLineInfilling/1.0.0/868428daf23baf894be83aee367654ef0e373ac317fc09f3244515ef1b5a068f/humaneval_infilling-test.arrow,1500632,.arrow
/home/shx/.cache/huggingface/datasets/loubnabnl___humaneval_infilling/HumanEval-SingleLineInfilling/1.0.0/ad46002f24b153968a3d0949e6fa9576780530ba/humaneval_infilling-test.arrow,1500632,.arrow
